INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9505,2,31470,940,990.0000,0.9046,1.1022,0.8866,1.1279
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.8990,2,44740,1435,1595.0000,0.9244,1.0798,0.8922,1.1209
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.8535,3,77775,2190,2565.0000,0.9401,1.0625,0.8958,1.1163
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1.0222,2,44290,1380,1350.0000,0.9180,1.0870,0.8905,1.1230
I00699,R1H,"BARTS HEALTH NHS TRUST",0.9568,2,137795,2920,3055.0000,0.9450,1.0572,0.8968,1.1151
I00699,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",1.0718,2,106060,2590,2420.0000,0.9383,1.0644,0.8954,1.1168
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0842,2,52850,2020,1860.0000,0.9299,1.0737,0.8935,1.1192
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.0840,2,56755,1550,1430.0000,0.9202,1.0845,0.8911,1.1222
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0307,2,76595,1535,1485.0000,0.9218,1.0827,0.8915,1.1217
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",0.9742,2,59485,1530,1570.0000,0.9238,1.0805,0.8920,1.1211
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",1.0467,2,60395,2120,2025.0000,0.9328,1.0706,0.8942,1.1183
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.9107,2,62610,2005,2200.0000,0.9354,1.0676,0.8948,1.1176
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.6964,3,88955,1285,1850.0000,0.9297,1.0740,0.8935,1.1192
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.9579,2,49790,1600,1670.0000,0.9260,1.0780,0.8926,1.1203
I00699,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",0.9591,2,46155,1210,1265.0000,0.9153,1.0901,0.8897,1.1240
I00699,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1.0885,2,84135,2885,2650.0000,0.9411,1.0615,0.8960,1.1161
I00699,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1.0230,2,29105,1005,980.0000,0.9042,1.1027,0.8864,1.1281
I00699,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1.0619,2,55070,1390,1305.0000,0.9167,1.0885,0.8901,1.1235
I00699,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1545,1,59030,2305,2000.0000,0.9323,1.0711,0.8941,1.1185
I00699,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1.1328,1,26975,1120,990.0000,0.9046,1.1023,0.8865,1.1280
I00699,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0.8982,2,51955,1840,2045.0000,0.9331,1.0702,0.8943,1.1182
I00699,RJN,"EAST CHESHIRE NHS TRUST",1.1482,1,13350,750,650.0000,0.8833,1.1271,0.8794,1.1371
I00699,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",0.9981,2,101680,3250,3255.0000,0.9467,1.0554,0.8971,1.1147
I00699,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",1.0493,2,84465,2375,2265.0000,0.9363,1.0667,0.8950,1.1173
I00699,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",1.0782,2,101065,3910,3625.0000,0.9495,1.0524,0.8976,1.1141
I00699,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",0.9833,2,60280,2370,2410.0000,0.9382,1.0645,0.8954,1.1168
I00699,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1.1251,1,41175,1510,1345.0000,0.9178,1.0872,0.8904,1.1231
I00699,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",0.9927,2,102365,3120,3145.0000,0.9458,1.0564,0.8969,1.1149
I00699,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1.0112,2,32380,1320,1305.0000,0.9167,1.0884,0.8901,1.1235
I00699,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1.1148,2,24475,995,895.0000,0.8998,1.1078,0.8851,1.1299
I00699,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",1.0926,2,101750,2690,2460.0000,0.9389,1.0639,0.8955,1.1166
I00699,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",0.9256,2,56585,1605,1735.0000,0.9274,1.0765,0.8929,1.1199
I00699,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",0.7136,3,100635,1375,1930.0000,0.9311,1.0724,0.8938,1.1188
I00699,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",0.8753,3,71195,2000,2285.0000,0.9366,1.0663,0.8951,1.1172
I00699,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",1.0915,2,24875,930,850.0000,0.8974,1.1105,0.8843,1.1309
I00699,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",0.8512,3,42450,505,595.0000,0.8779,1.1335,0.8775,1.1396
I00699,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",1.1459,1,68980,3035,2650.0000,0.9410,1.0615,0.8960,1.1161
I00699,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",0.7230,3,96445,1755,2425.0000,0.9384,1.0643,0.8954,1.1168
I00699,R1F,"ISLE OF WIGHT NHS TRUST",0.9308,2,19325,785,845.0000,0.8971,1.1109,0.8842,1.1310
I00699,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0732,2,30100,1430,1330.0000,0.9174,1.0876,0.8903,1.1232
I00699,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1.1224,2,45400,1535,1365.0000,0.9185,1.0864,0.8906,1.1228
I00699,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",1.0165,2,94255,2660,2615.0000,0.9407,1.0619,0.8959,1.1162
I00699,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",0.7791,3,58665,980,1255.0000,0.9151,1.0903,0.8897,1.1240
I00699,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9770,2,73830,2055,2105.0000,0.9340,1.0692,0.8945,1.1180
I00699,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",1.1054,2,97190,3585,3245.0000,0.9466,1.0555,0.8971,1.1147
I00699,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",0.9529,2,86465,1995,2095.0000,0.9339,1.0694,0.8944,1.1180
I00699,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0029,2,89580,3355,3345.0000,0.9474,1.0546,0.8972,1.1145
I00699,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",0.7803,3,100750,2155,2760.0000,0.9422,1.0602,0.8962,1.1158
I00699,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",0.9858,2,81080,2190,2220.0000,0.9357,1.0673,0.8949,1.1175
I00699,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",0.9560,2,191280,3630,3800.0000,0.9506,1.0512,0.8978,1.1138
I00699,RPA,"MEDWAY NHS FOUNDATION TRUST",1.0485,2,57330,1580,1505.0000,0.9223,1.0822,0.8916,1.1216
I00699,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",1.0771,2,178185,5495,5105.0000,0.9573,1.0440,0.8989,1.1125
I00699,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",0.9526,2,53485,1415,1485.0000,0.9218,1.0828,0.8915,1.1217
I00699,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",1.0422,2,80880,2485,2385.0000,0.9379,1.0649,0.8953,1.1169
I00699,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.0826,2,49205,1205,1115.0000,0.9099,1.0961,0.8882,1.1259
I00699,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.1942,1,74925,3110,2605.0000,0.9405,1.0620,0.8959,1.1162
I00699,RVJ,"NORTH BRISTOL NHS TRUST",0.9760,2,84435,2140,2190.0000,0.9353,1.0678,0.8948,1.1176
I00699,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",1.1153,2,44470,1885,1690.0000,0.9265,1.0775,0.8927,1.1202
I00699,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",0.9192,2,35585,1070,1165.0000,0.9119,1.0938,0.8888,1.1252
I00699,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",0.9589,2,52725,1660,1730.0000,0.9273,1.0766,0.8929,1.1200
I00699,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",1.1239,1,75270,2630,2340.0000,0.9373,1.0656,0.8952,1.1171
I00699,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",0.9171,2,70335,1660,1810.0000,0.9290,1.0747,0.8933,1.1194
I00699,RM3,"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",1.0465,2,111730,3920,3745.0000,0.9503,1.0515,0.8977,1.1139
I00699,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",1.0268,2,60415,2115,2060.0000,0.9333,1.0700,0.8943,1.1182
I00699,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",0.9890,2,88210,2695,2725.0000,0.9419,1.0606,0.8962,1.1159
I00699,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",1.0063,2,136990,3910,3890.0000,0.9512,1.0506,0.8979,1.1137
I00699,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.9398,2,117895,3090,3290.0000,0.9470,1.0551,0.8971,1.1146
I00699,RHU,"PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST",0.9715,2,83830,2835,2920.0000,0.9438,1.0585,0.8965,1.1154
I00699,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",1.0231,2,65785,1910,1865.0000,0.9300,1.0736,0.8935,1.1191
I00699,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",1.0324,2,59345,2025,1960.0000,0.9316,1.0718,0.8939,1.1187
I00699,RH8,"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",0.9627,2,90015,3000,3115.0000,0.9456,1.0566,0.8969,1.1150
I00699,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",0.8363,3,100295,2175,2600.0000,0.9405,1.0621,0.8959,1.1162
I00699,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",0.7097,3,49980,1080,1525.0000,0.9227,1.0817,0.8917,1.1214
I00699,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1.0338,2,58055,1780,1720.0000,0.9272,1.0767,0.8929,1.1200
I00699,RNZ,"SALISBURY NHS FOUNDATION TRUST",1.1134,2,34360,1055,945.0000,0.9025,1.1046,0.8859,1.1288
I00699,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",1.0398,2,58380,1645,1585.0000,0.9241,1.0801,0.8921,1.1210
I00699,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9764,2,103590,3025,3100.0000,0.9454,1.0568,0.8969,1.1150
I00699,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",0.9917,2,59300,1885,1900.0000,0.9306,1.0730,0.8937,1.1190
I00699,RH5,"SOMERSET NHS FOUNDATION TRUST",1.0329,2,49040,1880,1820.0000,0.9291,1.0746,0.8933,1.1194
I00699,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",1.1135,2,78365,2455,2205.0000,0.9355,1.0675,0.8948,1.1176
I00699,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",1.1457,1,76190,3055,2665.0000,0.9412,1.0613,0.8960,1.1160
I00699,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",0.9992,2,40155,1240,1240.0000,0.9146,1.0909,0.8895,1.1242
I00699,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1.0257,2,33780,1220,1190.0000,0.9128,1.0929,0.8890,1.1248
I00699,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.9109,2,64200,1535,1685.0000,0.9264,1.0776,0.8927,1.1203
I00699,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",1.0679,2,74135,2235,2090.0000,0.9338,1.0694,0.8944,1.1180
I00699,RWJ,"STOCKPORT NHS FOUNDATION TRUST",0.9846,2,52585,1600,1625.0000,0.9251,1.0790,0.8924,1.1206
I00699,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1.0181,2,48840,1770,1740.0000,0.9275,1.0763,0.8929,1.1199
I00699,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",1.0939,2,35570,1180,1080.0000,0.9086,1.0977,0.8878,1.1264
I00699,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",1.1073,2,58620,2045,1845.0000,0.9296,1.0741,0.8934,1.1193
I00699,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",1.0328,2,36100,905,875.0000,0.8987,1.1090,0.8847,1.1303
I00699,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",0.9180,2,103890,2270,2470.0000,0.9390,1.0637,0.8956,1.1166
I00699,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",0.9929,2,51105,1325,1335.0000,0.9175,1.0875,0.8903,1.1232
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1.0403,2,44895,1490,1435.0000,0.9204,1.0843,0.8911,1.1222
I00699,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1.0643,2,42410,1265,1190.0000,0.9128,1.0929,0.8890,1.1249
I00699,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",0.9734,2,90310,2355,2420.0000,0.9384,1.0644,0.8954,1.1168
I00699,RXW,"THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",1.0228,2,67040,2410,2360.0000,0.9376,1.0653,0.8953,1.1170
I00699,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1.1017,2,42230,1715,1555.0000,0.9235,1.0809,0.8919,1.1212
I00699,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",1.0668,2,72005,3085,2890.0000,0.9435,1.0588,0.8965,1.1155
I00699,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",0.8171,3,65600,965,1180.0000,0.9124,1.0933,0.8889,1.1250
I00699,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",0.8213,3,90600,2485,3030.0000,0.9448,1.0574,0.8967,1.1152
I00699,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",0.9930,2,196505,6095,6140.0000,0.9610,1.0401,0.8994,1.1118
I00699,RA7,"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",0.9878,2,84155,2100,2125.0000,0.9343,1.0689,0.8945,1.1179
I00699,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",1.1046,2,101415,2585,2340.0000,0.9373,1.0656,0.8952,1.1171
I00699,R0D,"UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",0.9018,2,89920,3245,3600.0000,0.9493,1.0526,0.8976,1.1141
I00699,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",0.9535,2,126705,4045,4245.0000,0.9532,1.0483,0.8982,1.1133
I00699,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",1.0442,2,137180,3725,3565.0000,0.9491,1.0528,0.8975,1.1142
I00699,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",0.9986,2,48300,1745,1745.0000,0.9277,1.0762,0.8930,1.1198
I00699,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",1.0212,2,124065,3670,3590.0000,0.9492,1.0526,0.8976,1.1141
I00699,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",1.1345,1,66325,2330,2055.0000,0.9332,1.0701,0.8943,1.1182
I00699,RYR,"UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",1.0548,2,136660,4740,4495.0000,0.9545,1.0470,0.8985,1.1130
I00699,RBK,"WALSALL HEALTHCARE NHS TRUST",1.0597,2,62620,1400,1325.0000,0.9172,1.0879,0.8902,1.1233
I00699,RWW,"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9519,2,35715,1155,1215.0000,0.9137,1.0918,0.8893,1.1245
I00699,RWG,"WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",0.9558,2,62080,1845,1930.0000,0.9312,1.0723,0.8938,1.1188
I00699,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",0.8689,3,33750,1310,1505.0000,0.9222,1.0822,0.8916,1.1216
I00699,RKE,"WHITTINGTON HEALTH NHS TRUST",0.9068,2,23330,505,555.0000,0.8739,1.1383,0.8760,1.1416
I00699,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",1.0632,2,61495,1890,1775.0000,0.9283,1.0755,0.8931,1.1197
I00699,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",1.0460,2,70080,2610,2495.0000,0.9393,1.0634,0.8956,1.1165
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1.1195,2,42340,1505,1345.0000,0.9179,1.0872,0.8904,1.1230
I00699,RLQ,"WYE VALLEY NHS TRUST",1.1043,2,28600,1150,1040.0000,0.9070,1.0995,0.8873,1.1270
I00699,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",0.9712,2,28935,1060,1090.0000,0.9091,1.0971,0.8879,1.1262
I00699,RCB,"YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9644,2,84990,2780,2885.0000,0.9434,1.0589,0.8965,1.1155
